Frame;Pelvis x;Pelvis y;Pelvis z;L5 x;L5 y;L5 z;L3 x;L3 y;L3 z;T12 x;T12 y;T12 z;T8 x;T8 y;T8 z;Neck x;Neck y;Neck z;Head x;Head y;Head z;Right Shoulder x;Right Shoulder y;Right Shoulder z;Right Upper Arm x;Right Upper Arm y;Right Upper Arm z;Right Forearm x;Right Forearm y;Right Forearm z;Right Hand x;Right Hand y;Right Hand z;Left Shoulder x;Left Shoulder y;Left Shoulder z;Left Upper Arm x;Left Upper Arm y;Left Upper Arm z;Left Forearm x;Left Forearm y;Left Forearm z;Left Hand x;Left Hand y;Left Hand z;Right Upper Leg x;Right Upper Leg y;Right Upper Leg z;Right Lower Leg x;Right Lower Leg y;Right Lower Leg z;Right Foot x;Right Foot y;Right Foot z;Right Toe x;Right Toe y;Right Toe z;Left Upper Leg x;Left Upper Leg y;Left Upper Leg z;Left Lower Leg x;Left Lower Leg y;Left Lower Leg z;Left Foot x;Left Foot y;Left Foot z;Left Toe x;Left Toe y;Left Toe z
0;3,100378766;1,233363526;1,032876834;3,135858001;1,245176682;1,152372692;3,214067667;1,280547332;1,227697278;3,290045689;1,317047236;1,289103924;3,373441605;1,361199279;1,333230163;3,499146067;1,436391746;1,361819942;3,574123722;1,481377573;1,370515011;3,445028436;1,364877231;1,355513864;3,512865021;1,217138048;1,341075618;3,550591578;1,173606234;1,071452326;3,77751442;1,197960211;0,906726603;3,407527445;1,422659753;1,368410543;3,363552015;1,579822116;1,366566855;3,406243155;1,638818973;1,100651268;3,559864327;1,698392524;0,872457622;3,13511913;1,136509213;1,0320729;3,222969749;1,201501297;0,559286079;3,280311987;1,251427593;0,133812826;3,468151754;1,292195832;0,042249938;3,065770179;1,330261566;1,034377865;3,034741404;1,261780537;0,554983291;2,988560129;1,191096767;0,131097202;3,155541942;1,288450463;0,041828385
1;3,100314439;1,233006394;1,032792915;3,136049841;1,244970232;1,152196818;3,214389462;1,280378829;1,227367977;3,290464519;1,316886896;1,28864922;3,373940737;1,361000855;1,332661235;3,499758811;1,436060609;1,361098261;3,574780617;1,480981053;1,369749753;3,445627583;1,364672604;1,354897322;3,513401145;1,216923356;1,340270994;3,550964308;1,173368258;1,070628757;3,777443325;1,197731721;0,905296296;3,408213786;1,422533147;1,367694676;3,364118473;1,579661258;1,365772673;3,406749965;1,638429236;1,099796004;3,560027183;1,697702891;0,87129284;3,135058441;1,136151295;1,03203745;3,222531236;1,20232561;0,559346632;3,280385755;1,251240401;0,133827396;3,468269822;1,292003285;0,042353145;3,065705806;1,329904441;1,034244394;3,034010644;1,262018004;0,55480881;2,988569138;1,190872587;0,130919433;3,155567284;1,288234054;0,041689667
2;3,100250112;1,232649263;1,032708995;3,13624168;1,244763783;1,152020943;3,214711258;1,280210327;1,227038677;3,290883349;1,316726555;1,288194517;3,37443987;1,360802431;1,332092307;3,500371555;1,435729472;1,36037658;3,575437512;1,480584533;1,368984495;3,446226731;1,364467976;1,354280779;3,513937268;1,216708665;1,339466371;3,551337039;1,173130282;1,069805187;3,777372231;1,19750323;0,903865988;3,408900126;1,422406541;1,366978809;3,364684931;1,579500401;1,364978491;3,407256775;1,638039498;1,09894074;3,56019004;1,697013259;0,870128058;3,134997753;1,135793377;1,032002001;3,222092722;1,203149924;0,559407184;3,280459524;1,251053209;0,133841965;3,46838789;1,291810738;0,042456352;3,065641434;1,329547316;1,034110923;3,033279885;1,262255471;0,554634329;2,988578148;1,190648408;0,130741664;3,155592625;1,288017645;0,041550949
3;3,100186944;1,232343426;1,032639258;3,136423218;1,244588394;1,151864172;3,215019283;1,280065778;1,226735006;3,291286607;1,316586942;1,28776925;3,374921664;1,360626081;1,331554385;3,500961715;1,435428678;1,359685706;3,57606921;1,480222756;1,368249137;3,446806742;1,364272788;1,353689684;3,51446022;1,21650581;1,338691821;3,551695493;1,172916169;1,069009639;3,777313057;1,197293986;0,902501462;3,409562584;1,422284136;1,366297535;3,365237049;1,579346166;1,364216304;3,407749908;1,637664896;1,098119899;3,560358321;1,696360016;0,869017283;3,134936561;1,135486788;1,031967176;3,221695043;1,203894692;0,559459215;3,280503306;1,250919794;0,133854768;3,468467539;1,291676283;0,042542416;3,065579252;1,329241917;1,034005523;3,03261607;1,262472869;0,554495209;2,988582673;1,190483147;0,130595263;3,155611778;1,287859411;0,041439606
4;3,100122453;1,232119999;1,032592022;3,136587611;1,244465056;1,151736877;3,215305379;1,279961934;1,226470523;3,291665416;1,316482409;1,287389167;3,375376602;1,360485746;1,331064697;3,50151809;1,435174244;1,359044204;3,576663551;1,479913187;1,367562746;3,447360668;1,364091619;1,353137819;3,514965984;1,216320783;1,33796067;3,552031053;1,172744908;1,068252706;3,777267644;1,197117046;0,901228105;3,410192674;1,422168734;1,36566796;3,365771134;1,579202567;1,363501589;3,40822502;1,637309948;1,097349238;3,560533549;1,695757341;0,867983423;3,13487127;1,135262651;1,031934104;3,221351277;1,204529587;0,559499292;3,2804962;1,250874365;0,133865902;3,468482459;1,291638698;0,042602379;3,065517486;1,329019712;1,033943937;3,032047591;1,262664747;0,554411345;2,988579568;1,19041539;0,1304972;3,155620629;1,287797986;0,041370863
5;3,100059121;1,231947867;1,032558967;3,136741702;1,24437278;1,151628685;3,215577704;1,279882043;1,226231671;3,292028653;1,316398604;1,287038521;3,375814203;1,360367485;1,330606015;3,502051882;1,434950152;1,358433508;3,577232694;1,479638361;1,366906255;3,447895457;1,363919891;1,3526114;3,515458576;1,216147593;1,337259592;3,552352336;1,17259751;1,067523795;3,777234152;1,196959353;0,900020529;3,410798881;1,422057532;1,365072979;3,366290879;1,579065591;1,362818868;3,408686455;1,636970135;1,096612999;3,560714202;1,695191056;0,867003571;3,134805474;1,135089843;1,031901657;3,221048345;1,205084938;0,559530848;3,280459108;1,250882712;0,13387527;3,468458959;1,291659206;0,042645199;3,06545791;1,328849234;1,033910421;3,031546056;1,262836556;0,554362842;2,988571978;1,190406551;0,130430506;3,155623291;1,287794736;0,041329494
6;3,100005552;1,231784983;1,032529323;3,136895719;1,244279655;1,151527583;3,215846966;1,279799804;1,2260034;3,292387374;1,316313195;1,286699506;3,376245686;1,360251547;1,330157664;3,502574113;1,434738695;1,357828726;3,577787926;1,479380627;1,366252365;3,448412817;1,363753302;1,352094525;3,51593687;1,215980104;1,336578684;3,552670921;1,172440877;1,066819144;3,777218983;1,196800978;0,898868358;3,411382778;1,421946329;1,364495866;3,366793018;1,578929824;1,362153696;3,409133568;1,636647036;1,09589834;3,560901145;1,694655022;0,866063009;3,134749456;1,134926316;1,031867082;3,220787846;1,205572179;0,55955566;3,280424749;1,25089599;0,133880807;3,46843755;1,291679565;0,042680607;3,065408044;1,32868781;1,033885819;3,031093238;1,262984583;0,554325372;2,98856486;1,190399798;0,130375636;3,155625911;1,287791934;0,041297203
7;3,099968273;1,231614432;1,032500904;3,137056143;1,244171275;1,151431184;3,216119548;1,279703161;1,22578233;3,292747873;1,316216243;1,286367595;3,376676996;1,36013012;1,329713651;3,503089446;1,43453517;1,357221433;3,578333666;1,479135922;1,365591527;3,448913556;1,363590908;1,351583056;3,516401341;1,215816866;1,335917971;3,552994301;1,172257694;1,066142334;3,77722631;1,196632945;0,897771772;3,411944072;1,421833261;1,363933159;3,367275316;1,578792851;1,361501352;3,409565384;1,636344584;1,095202029;3,561096304;1,694151359;0,865159775;3,134710623;1,13475527;1,03183012;3,220572553;1,205985595;0,559573897;3,280404793;1,250898913;0,133882499;3,468432252;1,291680229;0,042711507;3,065373769;1,328518142;1,033865866;3,030686511;1,263108425;0,554292528;2,988559308;1,190376469;0,130328374;3,155630553;1,287770056;0,041270649
8;3,099940759;1,23145313;1,032475896;3,137216494;1,244062046;1,151341874;3,216389067;1,279604168;1,225571842;3,293103856;1,316117685;1,286047315;3,377102189;1,360011015;1,329279967;3,503593219;1,434344282;1,356620055;3,578865496;1,478908308;1,36493329;3,449396867;1,363433654;1,351081131;3,516851514;1,215659329;1,335277428;3,553314983;1,172065276;1,065489783;3,777251961;1,196464229;0,896730591;3,412483057;1,421720191;1,363388321;3,367740008;1,578657088;1,360866557;3,409982877;1,636058844;1,094527297;3,561297754;1,693677947;0,864295831;3,134681567;1,134593505;1,031791029;3,220399691;1,206330902;0,55958539;3,280387571;1,250906767;0,13388036;3,468429044;1,291680744;0,042734995;3,065349204;1,328357528;1,033854828;3,030328501;1,263208486;0,554270717;2,988554227;1,190355225;0,130292937;3,155635152;1,287748626;0,041253172
9;3,099912036;1,23130977;1,032450082;3,137367548;1,243963276;1,151254797;3,216647076;1,279512693;1,225367031;3,2934475;1,316025011;1,285734444;3,377514651;1,35989792;1,328853915;3,504082463;1,434162429;1,356024964;3,579381447;1,478692323;1,364279002;3,44986203;1,363280081;1,350585252;3,517284837;1,215505711;1,334647082;3,553622068;1,171882463;1,064846996;3,777289821;1,196301832;0,895733893;3,413002187;1,421608499;1,362855015;3,368190537;1,578524364;1,360249026;3,410388323;1,635779595;1,09387099;3,56150058;1,693222289;0,863462349;3,13465036;1,134449376;1,031747833;3,220262542;1,206636686;0,559591408;3,280370788;1,250916557;0,133872378;3,468426371;1,291681501;0,042752091;3,065324218;1,328215187;1,033846342;3,030008864;1,263282269;0,554254839;2,988551284;1,190335218;0,130262434;3,155639656;1,287728488;0,041236501
