Frame;Pelvis x;Pelvis y;Pelvis z;L5 x;L5 y;L5 z;L3 x;L3 y;L3 z;T12 x;T12 y;T12 z;T8 x;T8 y;T8 z;Neck x;Neck y;Neck z;Head x;Head y;Head z;Right Shoulder x;Right Shoulder y;Right Shoulder z;Right Upper Arm x;Right Upper Arm y;Right Upper Arm z;Right Forearm x;Right Forearm y;Right Forearm z;Right Hand x;Right Hand y;Right Hand z;Left Shoulder x;Left Shoulder y;Left Shoulder z;Left Upper Arm x;Left Upper Arm y;Left Upper Arm z;Left Forearm x;Left Forearm y;Left Forearm z;Left Hand x;Left Hand y;Left Hand z;Right Upper Leg x;Right Upper Leg y;Right Upper Leg z;Right Lower Leg x;Right Lower Leg y;Right Lower Leg z;Right Foot x;Right Foot y;Right Foot z;Right Toe x;Right Toe y;Right Toe z;Left Upper Leg x;Left Upper Leg y;Left Upper Leg z;Left Lower Leg x;Left Lower Leg y;Left Lower Leg z;Left Foot x;Left Foot y;Left Foot z;Left Toe x;Left Toe y;Left Toe z
0;0,033317362;0,178152435;0,944055258;0,036325172;0,180702138;1,056748018;0,048189308;0,188980844;1,158705893;0,050803365;0,190758111;1,252722781;0,053318014;0,192335246;1,346640796;0,068121779;0,203312462;1,481840618;0,10072875;0,217054981;1,561952479;0,082541464;0,172076012;1,422557926;0,177289104;0,043755497;1,414399515;0,363015068;-0,138528011;1,377391324;0,558907045;-0,292112007;1,357924228;0,0407795;0,22488773;1,422842463;-0,049224684;0,356828227;1,423483854;-0,190616645;0,570167709;1,363604147;-0,314445796;0,781591201;1,315573185;0,08211858;0,098357654;0,945425487;0,067296825;0,057613346;0,509245102;0,036136768;0,008548065;0,078676586;0,169655056;0,032619133;0,015179094;-0,015438567;0,257986327;0,944392385;-0,028537433;0,285373899;0,507115167;-0,073153442;0,295910592;0,075066721;0,039625067;0,373933476;0,014953535
1;0,033109624;0,178093698;0,943986576;0,036108319;0,180597194;1,056680599;0,04799147;0,188873943;1,158636416;0,050630664;0,190670276;1,252652232;0,053179519;0,192284693;1,346568671;0,068048295;0,203327374;1,481755979;0,100693832;0,217094904;1,561847812;0,082416015;0,17205582;1,422474835;0,177155923;0,043733409;1,414260337;0,362868887;-0,138563186;1,377252107;0,558715518;-0,292215083;1,357866549;0,040691662;0,224897473;1,422747478;-0,049369733;0,356799388;1,423307991;-0,190682065;0,570165261;1,363335277;-0,314406613;0,781646477;1,315289386;0,081907568;0,098295971;0,945328259;0,067123557;0,057612177;0,50914097;0,036296275;0,008481785;0,078555997;0,169796971;0,032549022;0,015080498;-0,015643148;0,257929584;0,944352459;-0,028983377;0,285391643;0,507086993;-0,073514938;0,295938342;0,075029545;0,039267175;0,373956447;0,014916915
2;0,032901887;0,178034961;0,943917893;0,035891466;0,18049225;1,056613181;0,047793632;0,188767041;1,158566939;0,050457963;0,190582441;1,252581682;0,053041024;0,19223414;1,346496546;0,067974811;0,203342286;1,48167134;0,100658914;0,217134826;1,561743145;0,082290566;0,172035628;1,422391744;0,177022741;0,043711321;1,41412116;0,362722705;-0,13859836;1,37711289;0,55852399;-0,29231816;1,357808871;0,040603823;0,224907216;1,422652492;-0,049514783;0,356770549;1,423132128;-0,190747486;0,570162813;1,363066407;-0,31436743;0,781701753;1,315005588;0,081696557;0,098234288;0,94523103;0,066950288;0,057611008;0,509036838;0,036455782;0,008415505;0,078435408;0,169938885;0,032478911;0,014981902;-0,015847728;0,257872841;0,944312533;-0,02942932;0,285409387;0,507058818;-0,073876433;0,295966092;0,074992369;0,038909282;0,373979419;0,014880296
3;0,032714174;0,177983264;0,943865858;0,035694319;0,180398179;1,056562321;0,047612035;0,188672443;1,158514308;0,050296928;0,19050751;1,252528089;0,052908351;0,192196227;1,346441523;0,067897133;0,203368799;1,481604952;0,100612644;0,217184626;1,561659934;0,082167346;0,172025335;1,422329118;0,176890473;0,043697486;1,414011968;0,362555336;-0,138645834;1,376993968;0,558299305;-0,292446837;1,35775645;0,040516787;0,224925665;1,422575434;-0,049647943;0,356757881;1,422969932;-0,190827425;0,570160527;1,362816388;-0,314383866;0,781732008;1,314735537;0,081501691;0,098177515;0,945153463;0,06677364;0,057608644;0,508953663;0,036565115;0,008366608;0,078337208;0,17003626;0,032429072;0,014904534;-0,016028405;0,257825414;0,944286253;-0,02980413;0,285421923;0,507042086;-0,074132528;0,295985183;0,074963303;0,038656939;0,373996448;0,014855593
4;0,032557437;0,17794218;0,943839881;0,035528799;0,180320335;1,056537361;0,047456737;0,1885965;1,158487999;0,050154718;0,190452567;1,252500995;0,052784639;0,192178478;1,346413239;0,067811463;0,203414661;1,481567179;0,100547458;0,217250738;1,561610296;0,082046761;0,172030468;1,422298711;0,176758103;0,043695945;1,413950606;0,362349713;-0,138715122;1,376899233;0,558017909;-0,292617037;1,357698067;0,04043124;0,224958513;1,422525712;-0,049762341;0,356771234;1,422824935;-0,190923024;0,570162467;1,362587029;-0,314476758;0,781728251;1,314474224;0,081332894;0,098128756;0,945105878;0,066586642;0,05760576;0,508902629;0,036590293;0,008346742;0,078273406;0,170058953;0,032412835;0,014860674;-0,016173189;0,257791434;0,944282152;-0,030068318;0,285424221;0,507044028;-0,074213284;0,295989627;0,074946614;0,038580557;0,374003389;0,014850358
5;0,032420726;0,177908136;0,94383055;0,035382986;0,180253365;1,056528958;0,04731768;0,188532859;1,158478535;0,050024174;0,190410527;1,252490856;0,052666749;0,19217337;1,346402057;0,067721599;0,203472124;1,481547656;0,100470921;0,217326728;1,561582113;0,081928406;0,172045501;1,42228877;0,176626646;0,043702658;1,413919229;0,362122904;-0,138796708;1,376824791;0,557703357;-0,292812837;1,357644941;0,040346497;0,225000066;1,422493918;-0,049864849;0,356800757;1,422693605;-0,191033141;0,570164568;1,362376521;-0,31462527;0,781699474;1,314226659;0,081180243;0,098084907;0,945077954;0,066396264;0,05760168;0,508872552;0,036565297;0,00834426;0,078231992;0,170037107;0,032416871;0,014838043;-0,01629407;0,257766771;0,944291696;-0,030261372;0,285421311;0,507057413;-0,074188639;0,295985412;0,074938033;0,038609725;0,374004389;0,014857039
6;0,032291207;0,17787746;0,943826277;0,035240825;0,180192078;1,056525648;0,047180926;0,188474771;1,158474331;0,049895483;0,190373048;1,252486006;0,052551079;0,192170977;1,346396174;0,067634745;0,203529546;1,481533543;0,100394367;0,21740317;1,561560485;0,081813289;0,172063758;1,422284496;0,176500055;0,043713759;1,413894295;0,361904926;-0,138874353;1,376779264;0,557393158;-0,293012082;1,357635984;0,040261307;0,225041947;1,422469758;-0,049964202;0,356833063;1,42257902;-0,191168867;0,570154801;1,362198291;-0,314822504;0,781647629;1,314021608;0,081030119;0,098041566;0,94505839;0,066220033;0,057593184;0,508850846;0,036541897;0,008341608;0,078199336;0,170016598;0,032421459;0,014821032;-0,016403114;0,257748347;0,944302932;-0,030430636;0,285423076;0,507071987;-0,074163008;0,295981846;0,074932864;0,038638757;0,374005939;0,014864897
7;0,032164357;0,177849375;0,943825359;0,035096594;0,180135413;1,056525768;0,047042329;0,188420758;1,158473576;0,049766949;0,190338383;1,252484567;0,052439435;0,192169326;1,346393617;0,067558787;0,203584832;1,481522198;0,100326263;0,217478676;1,561542417;0,081705239;0,172084858;1,422283284;0,176381686;0,043728779;1,413869633;0,361706682;-0,138943737;1,376770986;0,557096029;-0,293214569;1,35769088;0,040178952;0,225083367;1,422452696;-0,050055891;0,356868248;1,422484818;-0,191345453;0,570122343;1,362063658;-0,315093436;0,781557538;1,313876303;0,080875734;0,097996466;0,945045855;0,066062564;0,057577224;0,50883581;0,036537736;0,008332793;0,078173067;0,170013146;0,032420213;0,014805966;-0,016502571;0,257736816;0,944313721;-0,030589287;0,285432328;0,507085993;-0,074170866;0,295982628;0,074931448;0,038632246;0,374010651;0,014871116
8;0,032044701;0,177824658;0,9438295;0,034956015;0,180084432;1,056530981;0,046906037;0,188372297;1,158478081;0,049640267;0,190308279;1,252488416;0,052330011;0,192170391;1,346396359;0,067485839;0,203640076;1,481516262;0,100258143;0,217554635;1,561530904;0,081600427;0,172109183;1,422287739;0,176268182;0,043748187;1,413851413;0,361517269;-0,139009179;1,376791622;0,556803253;-0,2934205;1,357789945;0,040096151;0,225125115;1,422443269;-0,050144424;0,356906216;1,422407361;-0,191547648;0,570078017;1,361961303;-0,31541309;0,781444381;1,313773512;0,080723876;0,097951875;0,945041679;0,065919242;0,057556848;0,508829144;0,036535171;0,008323808;0,078155554;0,170011032;0,03241952;0,014796519;-0,016590191;0,257731524;0,944326201;-0,030724147;0,285446255;0,507101188;-0,074177738;0,295984059;0,074933442;0,0386256;0,374015913;0,014878512
9;0,031932978;0,177801974;0,943832216;0,034820193;0,180037128;1,056534807;0,046770548;0,188327064;1,1584817;0,049510717;0,190279634;1,25249152;0,052213786;0,192170166;1,346398515;0,067399456;0,203689917;1,481510813;0,100175951;0,217625788;1,561520029;0,081488372;0,172131201;1,42229089;0,176153427;0,043769522;1,413834598;0,361333999;-0,139067394;1,376824785;0,556526193;-0,293608327;1,357913037;0,040001817;0,225161186;1,422432793;-0,050252059;0,35693329;1,422338814;-0,191740792;0,570042258;1,3618707;-0,315699646;0,781355649;1,313690308;0,080581282;0,097910191;0,945038548;0,065793749;0,05753798;0,508823365;0,036533035;0,008315081;0,078140277;0,170008986;0,032418826;0,01478811;-0,016671286;0,257727432;0,944334838;-0,030843025;0,285466299;0,507112584;-0,074184605;0,295984352;0,074933121;0,038619356;0,374020384;0,014884791
