Frame;Pelvis x;Pelvis y;Pelvis z;L5 x;L5 y;L5 z;L3 x;L3 y;L3 z;T12 x;T12 y;T12 z;T8 x;T8 y;T8 z;Neck x;Neck y;Neck z;Head x;Head y;Head z;Right Shoulder x;Right Shoulder y;Right Shoulder z;Right Upper Arm x;Right Upper Arm y;Right Upper Arm z;Right Forearm x;Right Forearm y;Right Forearm z;Right Hand x;Right Hand y;Right Hand z;Left Shoulder x;Left Shoulder y;Left Shoulder z;Left Upper Arm x;Left Upper Arm y;Left Upper Arm z;Left Forearm x;Left Forearm y;Left Forearm z;Left Hand x;Left Hand y;Left Hand z;Right Upper Leg x;Right Upper Leg y;Right Upper Leg z;Right Lower Leg x;Right Lower Leg y;Right Lower Leg z;Right Foot x;Right Foot y;Right Foot z;Right Toe x;Right Toe y;Right Toe z;Left Upper Leg x;Left Upper Leg y;Left Upper Leg z;Left Lower Leg x;Left Lower Leg y;Left Lower Leg z;Left Foot x;Left Foot y;Left Foot z;Left Toe x;Left Toe y;Left Toe z
0;0,844339828;0,226452794;0,950548051;0,881057676;0,231688527;1,047698548;0,957216993;0,225825734;1,13342506;1,027947908;0,219567216;1,210546955;1,106884136;0,210390752;1,278739032;1,232897326;0,192615801;1,351428671;1,319811312;0,18679977;1,395215761;1,168086078;0,170387059;1,324019176;1,156807646;0,030908054;1,272070367;1,111106546;-0,002032282;0,958091384;1,234748431;-0,062226399;0,736421848;1,179189434;0,233114974;1,320107025;1,197415885;0,381254627;1,321623817;1,207852446;0,399212294;1,003308051;1,259758977;0,474240548;0,758923765;0,825440481;0,14438169;0,96226119;0,774779466;0,181430529;0,52710983;0,783441534;0,20378183;0,098147512;0,949579585;0,132178842;0,019445937;0,863261039;0,308527584;0,938892265;1,027787105;0,278592865;0,532286616;1,03383148;0,265926561;0,102886501;1,210508798;0,277849791;0,017688626
1;0,844210491;0,226672694;0,950467886;0,880905446;0,231675218;1,047638871;0,957074985;0,225640664;1,133344109;1,027827995;0,219246825;1,210434437;1,106794879;0,209967219;1,278576894;1,232849408;0,192094818;1,3511707;1,319779956;0,186246199;1,394920514;1,168011881;0,169914171;1,32376647;1,156612325;0,030438878;1,271834266;1,110928336;-0,00223821;0,957824505;1,234420538;-0,0622713;0,736027334;1,179120474;0,232645762;1,319918913;1,197363352;0,380785442;1,321311414;1,207882677;0,398858973;1,003004011;1,259768385;0,473810148;0,758590519;0,825300214;0,144576047;0,961979465;0,774339577;0,18124713;0,526831767;0,783498615;0,20381864;0,097891823;0,949579956;0,132229273;0,019058496;0,863142123;0,30877247;0,939013942;1,027404392;0,278782892;0,53230524;1,033515393;0,26597887;0,102909604;1,210386905;0,277868533;0,017983071
2;0,844081155;0,226892594;0,950387721;0,880753217;0,231661909;1,047579193;0,956932977;0,225455594;1,133263158;1,027708082;0,218926434;1,210321919;1,106705623;0,209543686;1,278414756;1,232801491;0,191573835;1,350912728;1,319748601;0,185692627;1,394625267;1,167937684;0,169441283;1,323513764;1,156417004;0,029969702;1,271598164;1,110750126;-0,002444138;0,957557626;1,234092646;-0,062316202;0,735632819;1,179051515;0,232176551;1,3197308;1,197310819;0,380316257;1,32099901;1,207912907;0,398505652;1,002699971;1,259777794;0,473379748;0,758257274;0,825159946;0,144770405;0,961697741;0,773899688;0,18106373;0,526553703;0,783555696;0,203855451;0,097636134;0,949580327;0,132279705;0,018671056;0,863023206;0,309017355;0,93913562;1,027021678;0,27897292;0,532323863;1,033199306;0,26603118;0,102932707;1,210265011;0,277887275;0,018277517
3;0,843964822;0,227064217;0,950314406;0,880619064;0,231629478;1,047522725;0,95681093;0,225269487;1,133184845;1,027608687;0,218617424;1,21021241;1,106636328;0,209138757;1,278257114;1,232771911;0,191075106;1,350662748;1,319735569;0,185161932;1,394338062;1,167879;0,168986265;1,323271656;1,156240861;0,02952061;1,271366183;1,110586301;-0,002638696;0,957296905;1,233788538;-0,062369573;0,735255443;1,178999323;0,23172442;1,319548358;1,197270191;0,379864316;1,320703208;1,20794729;0,398161703;1,00241213;1,259792406;0,472963363;0,757942217;0,825034299;0,144919881;0,961448979;0,773480892;0,180893032;0,526313287;0,783597333;0,203881815;0,097416913;0,949581197;0,132315463;0,01835749;0,862915905;0,309210709;0,939238031;1,026664245;0,279135827;0,5323269;1,032946668;0,266071995;0,102940224;1,210186174;0,277901676;0,01851646
4;0,843870315;0,227164035;0,950250614;0,880514071;0,231568898;1,047470396;0,956720298;0,225081988;1,133110277;1,027540915;0,218325216;1,210107744;1,106597143;0,208760911;1,278107263;1,232769153;0,190608007;1,35042708;1,319749049;0,18466421;1,394065893;1,167842496;0,168555965;1,323046821;1,156090387;0,029099837;1,271141459;1,110443313;-0,002813094;0,957045688;1,233518108;-0,062434221;0,734903828;1,17897162;0,231295713;1,319376038;1,19724796;0,379435857;1,320431231;1,207991574;0,39782783;1,002147562;1,259816309;0,472566366;0,757653717;0,82493274;0,145002693;0,961248971;0,773089855;0,180739544;0,526129322;0,783615531;0,203891246;0,097252663;0,949583309;0,132326817;0,018157658;0,862828557;0,309327352;0,939310749;1,026344582;0,279258802;0,532304572;1,032795387;0,266094841;0,102922406;1,210180725;0,277908944;0,018669319
5;0,843788811;0,227215575;0,950193672;0,880427156;0,231489196;1,047421278;0,956649627;0,224893451;1,133038346;1,027493661;0,21804439;1,210006086;1,106577921;0,208401668;1,277961906;1,232784732;0,190163163;1,350199403;1,319780852;0,184189365;1,393801766;1,167821506;0,168143534;1,322832585;1,155959089;0,028699147;1,270920856;1,11031471;-0,002976122;0,956800629;1,233271462;-0,062507339;0,734569352;1,178960685;0,230884086;1,319209389;1,197237633;0,379024641;1,320175855;1,208040009;0,397503328;1,001899193;1,259845415;0,472183384;0,757383406;0,824845802;0,145040623;0,961081926;0,772719911;0,180598757;0,525983004;0,783618284;0,203890231;0,09712488;0,949585921;0,132323497;0,018031701;0,862752823;0,309392464;0,9393642;1,026050198;0,279354657;0,532266658;1,032707556;0,266106193;0,102889002;1,210218331;0,277911872;0,018766676
6;0,843706846;0,227241137;0,950142411;0,880343153;0,231398329;1,047375796;0,956584508;0,224703906;1,132968372;1,027454132;0,217770066;1,209904947;1,10656818;0,208054196;1,277815654;1,232811533;0,189734694;1,349968742;1,319824738;0,183729983;1,393532742;1,16781154;0,167746298;1,32261952;1,155846676;0,028313917;1,270699084;1,110195519;-0,00314278;0,956557847;1,233042704;-0,062588979;0,734243276;1,178960123;0,23048759;1,319040725;1,197231642;0,378629196;1,319932011;1,208079501;0,397195452;1,001661993;1,259872675;0,471812321;0,75712436;0,824759701;0,145054148;0,960933439;0,772372159;0,180469846;0,525855563;0,783614133;0,203887779;0,097014519;0,9495873;0,132320021;0,017933917;0,862675307;0,309430048;0,939410388;1,025768902;0,279434706;0,532226904;1,032632896;0,266113983;0,102853681;1,210251059;0,277914492;0,01884477
7;0,843619429;0,227245498;0,950098051;0,880257337;0,231298145;1,047335279;0,956521637;0,224513562;1,132900325;1,027420783;0,217501444;1,209802605;1,106568382;0,207717353;1,277664404;1,23285258;0,189321942;1,349726632;1,319884321;0,183284325;1,393249027;1,1678152;0,167364893;1,322402223;1,155757395;0,027944256;1,270471778;1,110083052;-0,003318947;0,956314521;1,232831912;-0,062680127;0,733922906;1,178971738;0,230107123;1,318865012;1,197229581;0,378250779;1,319699239;1,208101556;0,396914743;1,001435695;1,259895537;0,471455661;0,756875016;0,824669269;0,145047736;0,960802092;0,772048421;0,180353967;0,525744175;0,783604194;0,203886626;0,096918483;0,949586574;0,132321193;0,017855117;0,86259113;0,309445155;0,939453114;1,025496407;0,279500907;0,532189721;1,032556649;0,266119849;0,102820878;1,210251621;0,277930337;0,01892044
8;0,84353155;0,227223882;0,950059373;0,880174434;0,231186796;1,047298399;0,956464319;0,22432221;1,132834234;1,02739516;0,217239324;1,209700781;1,106578066;0,20739228;1,277512257;1,232904848;0,188925567;1,349481537;1,319955986;0,18285413;1,392960415;1,167829884;0,166998682;1,322186097;1,155686999;0,027590056;1,270243303;1,109979998;-0,003498743;0,956073472;1,232639007;-0,062779799;0,733610936;1,178993726;0,229741787;1,318687284;1,197231854;0,377888132;1,319477999;1,208114667;0,39665066;1,001220568;1,259916553;0,471110921;0,756636937;0,824579675;0,145016918;0,960689303;0,771746875;0,180249963;0,525651665;0,783587352;0,203884036;0,09683987;0,949584615;0,132322208;0,01780449;0,86250517;0,309432733;0,939488578;1,025237;0,279551302;0,532150698;1,032493575;0,266122153;0,102786157;1,210247303;0,277945875;0,018976847
9;0,84344471;0,227184258;0,950021545;0,880093455;0,231066694;1,047261602;0,956408062;0,224129251;1,132769503;1,027369096;0,21698123;1,209602151;1,10658536;0,20707557;1,277366125;1,232952149;0,18854167;1,349247874;1,320022644;0,182437213;1,392683354;1,167843307;0,166643085;1,321977925;1,155622442;0,027246363;1,270021463;1,109889451;-0,003679525;0,955839285;1,232457861;-0,062885092;0,733306723;1,179014285;0,22938694;1,318514961;1,197232114;0,377536022;1,319264599;1,208131223;0,396378839;1,001012388;1,259936321;0,470768548;0,756407895;0,82449264;0,144968766;0,960584927;0,771463154;0,180153542;0,525567739;0,783568797;0,203880817;0,096768928;0,949582313;0,132323167;0,017763908;0,862418663;0,309401641;0,939517392;1,02499135;0,279591329;0,532110351;1,032437673;0,266123911;0,102749891;1,210272033;0,277924544;0,018999716
